Name,Height,Discipline,Bike,Reach,Speed_rating
Jackson goldstone,172,DH,V10,452,10
Laurie Greenland,168,DH,V10,443,10
Rachel Atherton,170,DH,AM200,460,10
Reece Wilson,178,DH,Session,465,10
Amaury Pierron,180,DH,DH V5,484,10
Loris Vergier,178,DH,Session*,482,10
Ryan Pinkerton,170,DH,GT Fury,480,10
Gee Atherton,185,Enduro,AM 170,480,10
Taylor Vernon,170,DH,Prime Rocket,455,10
Rhys Verner,180,Enduro,Forbidden Druid,460,10
Katy Curd,162,Enduro,Privateer 141,440,10
Josh Bryceland,188,Enduro,EBike: Moterra LT,476,10
Steve Peat,190,Enduro,Ebike: Bullit,495,10
Jono Jones,182,Enduro,Propain Tyee,480,10
Sam Hill,175,DH,Dissent Carbon,471,10
Florencia Espineira,163,Enduro,Orbea Rallon,435,10
Jack Moir,186,Enduro,YT Capra 29,487,10
Christian Texttor,183,Enduro,YT Capra 29,467,10
Kasper Woolley,172,Enduro,YT Capra MX,444,10
Ben Cathro,199,Enduro,Megatower,495,10
Tracey Mosley,165,Enduro,Trek Slash,456,10
Ed Masters,182,DH,Pivot Phoenix,467,10
Bernard Kerr,178,DH,Pivot Phoenix,460,10
Bill,181,Enduro,Arbr,485,5
Bill,181,DH,Orange 324,441,5
Bill,181,Enduro,Focus Jam2,445,5
Bill,181,Enduro,Strive:ON,475,5
